ID,Name,Year Published,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average,BGG Rank,Complexity Average,Owned Users,Mechanics,Domains,baverage,numgeeklists,numwanting,numcomments,siteviews,numplays,numplays_month,boardgamecategory_cnt,boardgamemechanic_cnt,boardgamefamily_cnt
174430,Gloomhaven,2017,1,4,120,14,42055.0,8.79,1.0,3.86,68323,"Action Queue, Action Retrieval, Campaign / Battle Card Driven, Card Play Conflict Resolution, Communication Limits, Cooperative Game, Deck Construction, Deck Bag and Pool Building, Grid Movement, Hand Management, Hexagon Grid, Legacy Game, Modular Board, Once-Per-Game Abilities, Scenario / Mission / Campaign Game, Simultaneous Action Selection, Solo / Solitaire Game, Storytelling, Variable Player Powers","Strategy Games, Thematic Games",8.53724,4649.0,1374.0,8021.0,10583753.0,368134.0,106.0,5.0,20.0,12
161936,Pandemic Legacy: Season 1,2015,2,4,60,13,41643.0,8.61,2.0,2.84,65294,"Action Points, Cooperative Game, Hand Management, Legacy Game, Point to Point Movement, Set Collection, Trading, Variable Player Powers","Strategy Games, Thematic Games",8.45641,3978.0,850.0,6552.0,3385064.0,238259.0,32.0,2.0,8.0,7
224517,Brass: Birmingham,2018,2,4,120,14,19217.0,8.66,3.0,3.91,28785,"Hand Management, Income, Loans, Market, Network and Route Building, Score-and-Reset Game, Tech Trees / Tech Tracks, Turn Order: Stat-Based, Variable Set-up",Strategy Games,8.40055,1630.0,1477.0,3303.0,1816252.0,54092.0,58.0,3.0,9.0,9
167791,Terraforming Mars,2016,1,5,120,12,64864.0,8.43,4.0,3.24,87099,"Card Drafting, Drafting, End Game Bonuses, Hand Management, Hexagon Grid, Income, Set Collection, Solo / Solitaire Game, Take That, Tile Placement, Turn Order: Progressive, Variable Player Powers",Strategy Games,8.28222,7276.0,2085.0,10034.0,6059031.0,393651.0,141.0,6.0,11.0,8
233078,Twilight Imperium: Fourth Edition,2017,3,6,480,14,13468.0,8.7,5.0,4.22,16831,"Action Drafting, Area Majority / Influence, Area-Impulse, Dice Rolling, Follow, Grid Movement, Hexagon Grid, Modular Board, Trading, Variable Phase Order, Variable Player Powers, Voting","Strategy Games, Thematic Games",8.25444,1010.0,979.0,2206.0,2267902.0,21263.0,5.0,8.0,14.0,5
291457,Gloomhaven: Jaws of the Lion,2020,1,4,120,14,8392.0,8.87,6.0,3.55,21609,"Action Queue, Campaign / Battle Card Driven, Communication Limits, Cooperative Game, Critical Hits and Failures, Deck Construction, Grid Movement, Hand Management, Hexagon Grid, Legacy Game, Line of Sight, Once-Per-Game Abilities, Scenario / Mission / Campaign Game, Simultaneous Action Selection, Solo / Solitaire Game, Variable Player Powers","Strategy Games, Thematic Games",8.24677,783.0,467.0,1804.0,1312182.0,58766.0,82.0,5.0,17.0,8
182028,Through the Ages: A New Story of Civilization,2015,2,4,120,14,23061.0,8.43,7.0,4.41,26985,"Action Points, Auction/Bidding, Auction: Dutch, Card Drafting, Events, Income, Take That",Strategy Games,8.17103,2532.0,1030.0,3574.0,2908549.0,88304.0,31.0,3.0,7.0,3
220308,Gaia Project,2017,1,4,150,12,16352.0,8.49,8.0,4.35,20312,"End Game Bonuses, Hexagon Grid, Income, Modular Board, Network and Route Building, Solo / Solitaire Game, Tech Trees / Tech Tracks, Turn Order: Pass Order, Variable Player Powers, Variable Set-up, Victory Points as a Resource",Strategy Games,8.17422,2100.0,1531.0,2474.0,2195623.0,58641.0,36.0,4.0,11.0,5
187645,Star Wars: Rebellion,2016,2,4,240,14,23081.0,8.42,9.0,3.71,34849,"Area Majority / Influence, Area Movement, Area-Impulse, Delayed Purchase, Dice Rolling, Hand Management, Team-Based Game, Variable Player Powers",Thematic Games,8.1702,2308.0,1473.0,3703.0,3441450.0,35986.0,6.0,6.0,8.0,3
12333,Twilight Struggle,2005,2,2,180,13,40814.0,8.29,10.0,3.59,56219,"Action/Event, Advantage Token, Area Majority / Influence, Campaign / Battle Card Driven, Dice Rolling, Hand Management, Simulation, Simultaneous Action Selection, Sudden Death Ending, Tug of War","Strategy Games, Wargames",8.12648,10097.0,1348.0,8956.0,4936106.0,109330.0,19.0,3.0,10.0,9
