Name,Year Published,Min Players,Max Players,Play Time,Min Age,Users Rated,Complexity Average,Owned Users,baverage,numgeeklists,numwanting,numcomments,siteviews,numplays,numplays_month,boardgamecategory_cnt,boardgamemechanic_cnt,boardgamefamily_cnt,Domains_Abstract Games,Domains_Children's Games,Domains_Customizable Games,Domains_Family Games,Domains_Party Games,Domains_Strategy Games,Domains_Thematic Games,Domains_Unknown,Domains_Wargames,target
Gloomhaven,2017,1,4,120,14,42055.0,3.86,68323,8.53724,4649.0,1374.0,8021.0,10583753.0,368134.0,106.0,5.0,20.0,12,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.79
Pandemic Legacy: Season 1,2015,2,4,60,13,41643.0,2.84,65294,8.45641,3978.0,850.0,6552.0,3385064.0,238259.0,32.0,2.0,8.0,7,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.61
Brass: Birmingham,2018,2,4,120,14,19217.0,3.91,28785,8.40055,1630.0,1477.0,3303.0,1816252.0,54092.0,58.0,3.0,9.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.66
Terraforming Mars,2016,1,5,120,12,64864.0,3.24,87099,8.28222,7276.0,2085.0,10034.0,6059031.0,393651.0,141.0,6.0,11.0,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.43
Twilight Imperium: Fourth Edition,2017,3,6,480,14,13468.0,4.22,16831,8.25444,1010.0,979.0,2206.0,2267902.0,21263.0,5.0,8.0,14.0,5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.7
Gloomhaven: Jaws of the Lion,2020,1,4,120,14,8392.0,3.55,21609,8.24677,783.0,467.0,1804.0,1312182.0,58766.0,82.0,5.0,17.0,8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.87
Through the Ages: A New Story of Civilization,2015,2,4,120,14,23061.0,4.41,26985,8.17103,2532.0,1030.0,3574.0,2908549.0,88304.0,31.0,3.0,7.0,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.43
Gaia Project,2017,1,4,150,12,16352.0,4.35,20312,8.17422,2100.0,1531.0,2474.0,2195623.0,58641.0,36.0,4.0,11.0,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.49
Star Wars: Rebellion,2016,2,4,240,14,23081.0,3.71,34849,8.1702,2308.0,1473.0,3703.0,3441450.0,35986.0,6.0,6.0,8.0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.42
Twilight Struggle,2005,2,2,180,13,40814.0,3.59,56219,8.12648,10097.0,1348.0,8956.0,4936106.0,109330.0,19.0,3.0,10.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8.29
